"indic","qdesc","sdesc","who_2016","ilab","subst","samb","dontask1","dontask2","dontask3","dontask4","dontask5","dontask6","dontask7","dontask8","doaskif","nnonly","a_nrp","a_pend_6w","a_preg","b_0101","b_0102","b_0103","b_0104","b_0105","b_0106","b_0107","b_0108","b_0109","b_0110","b_0111","b_0112","b_0199","b_0201","b_0202","b_0203","b_0204","b_0205","b_0299","b_0301","b_0302","b_0303","b_0401","b_0402","b_0403","b_0499","b_0501","b_0502","b_0601","b_0602","b_0701","b_0801","b_0901","b_0902","b_0903","b_0904","b_0905","b_0906","b_0907","b_0908","b_0999","b_1001","b_1002","b_1003","b_1004","b_1006","b_1099","b_1101","b_1102","b_1201","b_1202","b_1203","b_1204","b_1205","b_1206","b_1207","b_1208","b_1209","b_1210","b_1299","b_9800","c_cult","c_emer","c_hsys","c_inev","c_know","c_resr"
"i190o","Did (s)he vomit for at least 3 days before death?","vom 3d","W610190-o","W610190-o (vom 3d)","Y","M","i022gY","i022fY","i022eY","","","","","","i188oY","","D","D","C","E","D","C+","C","C-","E","E","E","C","E","B","B","C","D-","C","D+","C-","C-","C","D","D","C-","C-","C","E","C","D+","D","D","C","C","D-","D","D","D-","D","D-","D+","D","D","D+","N","N","N","N","N","N","N","N","D","E","E","E","D+","D","D","D-","E","D","D","C-","C","C","C","C","C","D"
"i191o","Was there blood in the vomit?","vom bld","W610191-o","W610191-o (vom bld)","Y","M","i022gY","i022fY","","","","","","","i188oY","","C","C","C","D","D","C","C","C","C","C","C","C","C","A","C","C","C","A-","C","C","C","C","C","D","C","C","C","C","C","C","C","B","B","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","N","N","C","C","D","D","D","D","D","D","D","D","D","B","B","B","B","C","B","D"
"i192o","Was the vomit black?","vom blck","W610192-o","W610192-o (vom blck)","Y","M","i022gY","i022fY","i022eY","","","","","","i188oY","","D","D","D","E","D","C-","C-","E","E","E","E","D+","E","B-","C","D+","E","C-","D-","D+","D+","C-","D","D","C-","C-","C-","E","D+","D","D-","E","C","C-","E","E","E","E","D-","E","E","D","E","D-","N","N","N","N","N","N","N","N","D","E","E","E","D-","D-","D","D-","E","D+","E","C-","B","C","B","C","B","D"
"i193o","During the illness that led to death, did (s)he have any abdominal (belly) problem?","abdom","W610193-o","W610193-o (abdom)","Y","M","","","","","","","","","","","B","B","B","C","D","C","A","C","C","C","C","D","C","B","B","B","C","A","C","C","A","B+","C","C","C","C","C","C","C","D","C","I","A","A","C","A","A","C","C","C","A","C","A","A+","D","D","D","D","C","B","N","N","C","C","C","C","C","C","C","C","C","C","B","B+","C","C","C","D","C","D"
"i194o","Did (s)he have abdominal pain?","abd pain","W610194-o","W610194-o (abd pain)","Y","M","i022gY","i022fY","","","","","","","i193oY","","B","B+","B","C","D","B-","A","A-","B","C","B+","D","B+","B","B","A-","C","A","D","B","A+","C","B","A-","B","B","B","B+","C","D","C","A+","A","A-","C","A+","A+","B-","B","A+","B+","B-","A+","A","N","N","N","N","D","N","N","N","B","B","C","D","D","B","A-","B","B","D","B","B","C","C","C","D","B","D"
"i195o","Was the abdominal pain severe?","abd p sev","W610195-o","W610195-o (abd p sev)","Y","M","i022gY","i022fY","","","","","","","i194oY","","B","B","B","C","D","C","B","B","B","C","B","D","B","B","B","B","C","A","D","B","A","C","B","B","B","B","B","B","C","D","C","A","A","B","C","A","A","C","B","A","B","C","A","A","N","N","N","N","D","N","N","N","B","B","C","D","D","B","B","B","B","D","B","B","C","C","C","D","B","D"
"i197a","Did (s)he have severe abdominal pain for less than 2 weeks before death?","abd p <2w","W610197-a","W610197-a (abd p <2w)","Y","M","i022gY","i022fY","i197bY","","","","","","i195oY","","B-","B+","B+","B","D","B-","A+","A","B","C","B-","D","D","B","B","B+","C+","B","D","D","B","B","B","B","B-","B+","B","B","C","D","C","I","B+","A","C","A+","A+","B-","B+","A+","A-","B-","A+","A+","N","N","N","N","D","N","N","N","B+","B+","B","D","D","B","A","B","B","D","B","C","C","C","C","D","C","D"
"i197b","Did (s)he have severe abdominal pain for at least 2 weeks before death?","abd p 2+w","W610197-b","W610197-b (abd p 2+w)","Y","M","i022gY","i022fY","i197aY","","","","","","i195oY","","C+","B+","B+","D","D","B-","C","C","C","C","C","D","D","E","E","C","D","A+","D","D","A+","D","B","A-","B","C","C","A-","C","D","D","A-","A","B","C","C","C","B-","C","D","C","C","C","C","N","N","N","N","D","N","N","N","D","D","D","D","D","D","D","C","C","D","B","B","C","D","B","B","B","D"
"i199a","Was the pain in the upper abdomen?","abd p up","W610199-a","W610199-a (abd p up)","Y","M","i022gY","i022fY","","","","","","","i194oY","","D","C","C","E","D","D-","E","E","E","E","E","E","E","E","E","E","E","D","D-","D-","D-","E","E","E","D","E","E","E","D-","E","E","E","E","D-","E","C","C","C","C","C","C","C","C","C","N","N","N","N","N","N","N","N","E","E","E","E","E","E","E","E","E","E","E","E","C","D","C","D","C","D"
"i199b","Was the pain in the lower abdomen?","abd p lo","W610199-b","W610199-b (abd p lo)","Y","M","i022gY","i022fY","","","","","","","i194oY","","D","C+","B","E","D","D+","C+","E","E","E","E","D-","E","E","E","D","E","C-","D","D+","D-","C-","E","E","D+","D+","D","E","D+","D-","E","E","C-","D+","E","A","A","A","A","A","A","A","A","A","N","N","N","N","N","N","N","N","E","E","D-","E","E","E","D","E","E","E","E","C-","C","D","C","D","C","D"
"i200o","Did (s)he have a more than usually protruding abdomen?","abd prot","W610200-o","W610200-o (abd prot)","Y","M","i022gY","","","","","","","","i193oY","","C","B","B","D","D","C","B","C+","C","D","C","D","D","B","C","C","D","B","D","C","B","C","C","C","C","D","D","C","D","D","D","A","A-","C","D","B","B+","D","C","C","C","D","C","C","D","D","D","D","C","C","N","N","D","D","D","D","D","D","D","D","D","D","D","C","C","C","C","C","C","D"
"i201a","Did (s)he have a more than usually protruding abdomen for less than 2 weeks before death?","abd pr <2w","W610201-a","W610201-a (abd pr <2w)","Y","M","i201bY","i022gY","","","","","","","i200oY","","C","B","C","D","D","C-","B","C","C","D","D","D","D","B","C","C","D","C","D","D","C","D","C","B+","C","D","D","C","D","D","D","A","B","C","D","B","B+","D","C","C","C","D","C","C","C","D","D","D","D","C","N","N","D","D","D","D","D","D","C","D","D","D","D","D","C","C","C","C","C","D"
"i201b","Did (s)he have a more than usually protruding abdomen for at least 2 weeks before death?","abd pr 2+w","W610201-b","W610201-b (abd pr 2+w)","Y","M","i201aY","i022gY","","","","","","","i200oY","","C","C","B","D","D","C+","D","C-","C","D","D","D","D","C","E","C","D","A","D","C","B+","B","C","C","C","D","D","B-","D","D","D","C","A-","C","D","D","D","D","D","D","D","D","D","D","D-","D","D","D","C","D","N","N","D","D","D","D","D","D","D","D","D","D","D","C","C","C","C","C","B","D"
"i203a","Did (s)he develop the protruding abdomen rapidly?","abd pr rap","W610203-a","W610203-a (abd pr rap)","Y","M","i022gY","","","","","","","","i200oY","","C","C","C","E","D","C-","C-","D-","E","E","E","D+","E","C","C","C-","E","C","D+","C","D+","C-","E","E","C-","C-","C-","E","C-","D+","E","E","C+","C","D-","D","D","D","D+","D","D-","D-","D","D","N","N","N","N","N","N","N","N","D-","E","D+","E","D","E","E","D","E","D-","D-","C-","C","C","C","D","C","D"
"i204o","Did (s)he have any mass in the abdomen?","abd mass","W610204-o","W610204-o (abd mass)","Y","M","i022gY","","","","","","","","i193oY","","C-","C+","C+","D","D","C+","C","C-","C-","D","D","D","D","D","E","C-","D","A","D","C-","A+","C","C-","C-","C-","D","D","C-","D","D","D","A-","B+","C+","D","B","C","D","D","C","D","D","D","D","D","D","D","D","C-","C","N","N","D","D","D","D","D","D","D","D","D","D","D","C","C","C","C","B","C","D"
"i205a","Did (s)he have a mass in the abdomen for less than 2 weeks before death?","ab ms <2w","W610205-a","W610205-a (ab ms <2w)","Y","M","i205bY","i022gY","","","","","","","i204oY","","C-","B-","C+","D","D","C-","C","C","C-","D","D","D","D","D","E","C-","D","C","D","D","B","D","C-","C-","C-","D","D","C-","D","D","D","A-","B","C+","D","B","C","D","D","C","D","D","C","D","C","D","D","D","D","C","N","N","D","D","D","D","D","D","D","D","D","D","D","D","C","C","C","C","C","D"
"i205b","Did (s)he have a mass in the abdomen for at least 2 weeks before death?","ab ms 2+w","W610205-b","W610205-b (ab ms 2+w)","Y","M","i205aY","i022gY","","","","","","","i204oY","","C-","C","C+","D","D","B-","C","C-","C-","D","D","D","D","D","E","C-","D","A","D","C","A+","B","C-","C-","C-","D","D","C+","D","D","D","C","A-","C+","D","C","D","D","D","D","D","D","D","D","D-","D","D","D","C-","D","N","N","D","D","D","D","D","D","D","D","D","D","D","C","C","D","B","B","B","D"
"i207o","During the illness that led to death, did (s)he have a severe headache?","headache","W610207-o","W610207-o (headache)","Y","M","i022gY","i022fY","","","","","","","","","A-","A-","A","A-","A-","A-","A-","A+","B","A+","A-","B","B","A-","A-","A","B","C","C","C","C","B+","A","A-","A-","A-","A","B","B","B","A-","A-","A-","A-","A","B","B","A","B","C","B","C","C","C","N","N","N","N","B","N","N","N","B","B","B","B","B","B","B","B","B","B","B","A-","C","C","D","D","C","D"
"i208o","During the illness that led to death, did (s)he have a stiff neck?","st neck","W610208-o","W610208-o (st neck)","Y","M","i022gY","","","","","","","","","","C-","C-","C-","D","D","D","D","D","D","I","B","D","D","D","D","D","B","D","D","D","D","D","C-","C-","C-","C-","C-","C-","C-","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","N","N","N","N","D","N","N","N","C","C-","C-","D","D","D","D","C-","C-","D","C-","D","C","C","C","D","B","B"
"i209a","Did (s)he have a stiff neck for less than one week before death?","st n <1w","W610209-a","W610209-a (st n <1w)","Y","M","i022gY","i209bY","","","","","","","i208oY","","C-","C-","C-","D","D","D","D","D","D","I","A","D","D","D","D","C","D","D","D","D","D","D","C-","C-","C-","C-","B","C-","C-","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","N","N","N","N","D","N","N","N","C+","C","C-","D","D","D","D","C-","C-","D","C-","D","B","B","C","D","B","B"
"i209b","Did (s)he have a stiff neck for at least one week before death?","st n 1+w","W610209-b","W610209-b (st n 1+w)","Y","M","i022gY","i209aY","","","","","","","i208oY","","C-","C-","C-","D","D","D","D","D","D","C","C","D","D","D","E","C","B","D","D","D","D","D","C-","C-","C-","C-","C","C","C-","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","N","N","N","N","D","N","N","N","D","D","D","D","D","D","D","D","D","D","D","D","C","C","B","D","C","C"
"i210o","During the illness that led to death, did (s)he have a painful neck?","pain neck","W610210-o","W610210-o (pain neck)","Y","M","i022gY","i022fY","","","","","","","","","C-","C-","C-","D","D","D","D","D","D","C","C","D","D","D","D","D","A","B","D","D","D","D","C-","C-","C-","C-","C-","C-","C-","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","N","N","N","N","N","N","N","N","C","C","C","D","D","D","D","C","D","D","D","D","C","C","C","D","C","C"
"i211a","Did (s)he have a painful neck for at least one week before death?","pa n 1+w","W610211-a","W610211-a (pa n 1+w)","Y","M","i022gY","i022fY","","","","","","","i210oY","","C-","C-","C-","D","D","D","D","D","D","C","C","D","D","D","D","D","A","B","D","D","D","D","C","C","C","C","C","C","C","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","N","N","N","N","N","N","N","N","C","C","C","D","D","D","D","C","D","D","D","D","C","C","C","D","C","C"
"i212o","During the illness that led to death, did (s)he have mental confusion?","ment conf","W610212-o","W610212-o (ment conf)","Y","M","i022gY","i022fY","i022eY","i022dY","","","","","","","B-","C","C","D","D","D","D","D","D","D","D","D","D","E","E","D","D","D","D","D","D","C","C+","C","D","D","B","D","C+","C-","C-","C-","C-","C-","C-","D","D","D","D","D","D","D","D","D","N","N","N","N","N","N","N","N","C","D","D","D","D","D","C","D","D","D","D","A","B","D","D","C","D","C"
"i213o","Did (s)he have mental confusion for at least 3 months before death?","menc 3+m","W610213-o","W610213-o (menc 3+m)","Y","M","i022gY","i022fY","i022eY","i022dY","","","","","i212oY","","B-","C","C","D","D","D","D","D","D","D","D","D","D","E","E","D","D","D","D","D","D","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","N","N","N","N","N","N","N","N","C","C","C","C","C","C","C","C","C","C","C","B","B","E","D","B","D","D"
"i214o","During the illness that led to death, was (s)he unconscious?","uncons","W610214-o","W610214-o (uncons)","Y","M","","","","","","","","","","","B","B","B","C","C","C","C","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","A","B","B","B","B","C","B","B","B","B","B","B","B","B","C","C","B","C","B","B","E","E","E","D","E","E","N","N","B","B","B","B","B","B","B","B","B","B","B","B","B","C","B","B","B","C"
"i215o","Was (s)he unconscious for at least 24 hours before death?","unc 24+h","W610215-o","W610215-o (unc 24+h)","Y","M","","","","","","","","","i214oY","","B","B","B","B-","B-","B","B-","A-","B","A-","A-","B-","B-","B+","B-","B","B-","B-","B-","B-","B-","B-","B","B","A+","B","B","B","B","C","B","B","A-","A-","A-","B-","B-","B-","C+","C+","B","C+","B-","B","D","D","D","D","B","D","N","N","B+","B","B","B","B","B","A-","B","B+","B","B+","B","B","C","B","B","B","C"
"i216a","Was (s)he unsconscious for at least 6 hours before death?","unc 6+h","W610216-a","W610216-a (unc 6+h)","Y","M","i022gY","","","","","","","","i215oY","","B","B","B","C+","D","C-","C+","C","C-","B-","E","E","E","B","B","C+","E","E","E","E","E","C-","E","E","C","E","A-","E","C-","E","E","E","E","E","E","B","B","B+","B","B","B","C","C","B","N","N","N","N","N","N","N","N","C","E","C","E","C-","C-","E","D+","E","D+","E","C-","B","C","C","C","C","C"
"i217o","Did the unconsciousness start suddenly, quickly (at least within a single day)?","unc sudd","W610217-o","W610217-o (unc sudd)","Y","M","i022gY","","","","","","","","i215oY","","C","C","C","D","D","D","D","D","D","B","D","D","D","D","D","D","D","D","D","D","D","D","D","D","B","A","B+","D","D","D","C","D","D","D","A","D","D","A","C","D","D","D","D","D","D","C","D","D","D","D","N","N","B","B","B","C","C","D","D","D","D","D","D","D","B","B","C","B","B","C"
"i218o","Did the unconsciousness continue until death?","unc to d","W610218-o","W610218-o (unc to d)","Y","M","i022gY","","","","","","","","i215oY","","B","B","B","E","D","C+","C","C-","E","E","E","C-","E","D","D","C+","D","C-","D","C","C-","C-","E","E","C+","C","B-","E","C+","C","D","E","C","C+","C-","C","C","C-","C-","C","C-","D+","C","C-","N","N","N","N","N","N","N","N","C+","E","C","D","C-","C-","D+","C","E","C-","D+","C+","B","C","C","A","B","C"
"i219o","During the illness that led to death, did (s)he have any convulsions?","conv","W610219-o","W610219-o (conv)","Y","M","","","","","","","","","","","C+","C+","B","B","C+","B-","C","B+","C","A-","C+","C","C","B+","B+","B-","C","C","C","C","C","C","C","B-","B-","C","B-","C+","C","D","C+","C","C","C","I","D","D","A","D","D","D","D","D","C","A","B","C","C","C","B","N","N","C+","C+","C+","B-","C+","C+","B-","C+","C","C+","B-","C","B","A","C","C","B","C"
"i220o","Did (s)he experience any generalized convulsions or fits?","conv gen","W610220-o","W610220-o (conv gen)","Y","M","i022gY","i022aY","i022bY","i022cY","","","","","i219oY","","C","C","B","B","C","B","C","B","C","B","C","C","C","B","B","B","C","C","C","C","C","C","C","B","B","B","B","B","C","D","B","C","C","C","A","D","D","B","D","D","D","D","D","D","A","B","C","C","C","C","N","N","C","C","C","C","C","C","C","C","C","C","C","C","","B","C","C","B","C"
"i221a","Did the convulsions last for less than 10 minutes?","conv <10m","W610221-a","W610221-a (conv <10m)","Y","M","i221bY","i022gY","","","","","","","i219oY","","C+","C+","B","B","C+","B-","C","B+","C","B","C+","C","C","B","B","B","C","C","C","C","C","C","C","B","B","B","B","B-","C","D","B","C","C","C","A","D","D","B","D","D","D","D","D","D","A","B","C","C","C","C","N","N","C+","C+","C+","C+","C+","C+","B-","C+","C","C+","C","C","B","B","C","C","C","C"
"i221b","Did the convulsions last for at least 10 minutes?","conv 10+m","W610221-b","W610221-b (conv 10+m)","Y","M","i221aY","i022gY","","","","","","","i219oY","","C+","C+","B","B","C+","B-","C","B+","C","A","B","C","C","C","C","C","C","C","C","C","C","C","C","B-","C","D","C","C","C","D","C","C","C","C","A+","D","D","A+","D","D","D","D","D","D","B","C","C","C","C","C","N","N","C+","C+","C+","C+","C+","C+","C","C","C","C+","C","C","B","B","B","B","B","C"
"i222o","Did (s)he become unconscious immediately after the convulsion?","conv unc","W610222-o","W610222-o (conv unc)","Y","M","i022gY","","","","","","","","i219oY","","C+","C+","B-","B","C","C","C","C","C","B","C","C","C","D","D","C","C","C","C","C","C","C","C","C","B","B","B","C","C","D","C","C","C","C","A","D","D","A","D","D","D","D","D","D","B","C","C","C","C","C","N","N","C+","C+","C+","C+","C+","C+","C","C","C","C+","C","C","B","A","C","B","B","C"
"i223o","During the illness that led to death, did (s)he have any urine problems?","urine","W610223-o","W610223-o (urine)","Y","M","i022gY","","","","","","","","","","B","B","B","B","C","C","C","C","C","C","C","C","C","B","B-","A","C","C","C","C","B","B","C","C","C","C","C","C","C","D","C","C","C","A+","C","C","C","C","C","C","C","C","C","C","D","D","D","D","C","B","N","N","D","D","D","D","D","D","D","D","D","D","C","B","C","D","C","D","C","D"
"i224o","Did (s)he stop urinating?","uri none","W610224-o","W610224-o (uri none)","Y","M","i022gY","","","","","","","","i223oY","","C-","C-","C-","C-","C-","C-","C-","C-","C-","C-","C-","C-","C-","D","E","B","C-","C","C","C-","B+","C","C-","B","C-","C-","C-","C-","C-","D","C-","C-","C-","B+","C-","D","D","D","D","D","D","D","D","D","D","D","D","D","C-","C","N","N","D","D","D","D","D","D","D","D","D","D","D","C-","C","C","C","D","B","C"
"i225o","Did (s)he go to urinate more often than usual?","uri more","W610225-o","W610225-o (uri more)","Y","M","i022gY","i022fY","","","","","","","i223oY","","C","C","C+","C","C","C","C","C","C","C","C","C","C","D","E","B","C","C-","C-","C","C-","C-","C","C","A+","C","C","C","C","D","C","C","C","D","C","D","D","D","D","D","D","D","D","D","D","D","D","D","C-","D","N","N","D","D","D","D","D","D","D","D","D","D","D","C","C","C","C","D","C","C"
"i226o","Did (s)he pass blood in the urine?","uri bld","W610226-o","W610226-o (uri bld)","Y","M","i022gY","","","","","","","","i223oY","","C-","C-","C-","C-","C-","C","C-","C-","C-","C-","C-","C-","C-","A","C+","C","C-","C","C","C-","B+","C+","C-","C-","C-","C-","C-","C-","C-","D","C-","C-","C-","B+","C-","C","C","D","C","D","C","D","C","D","D","D","D","D","C-","C","N","N","D","D","D","D","D","D","D","D","D","D","D","C-","C","C","B","C","B","C"
"i227o","During the illness that led to death, did (s)he have any sores or ulcers anywhere?","skin","W610227-o","W610227-o (skin)","Y","M","i022gY","","","","","","","","","","B","B","B","C","C","B-","C","C","A+","B","C","C","C","B","B","A","C","C","D","C","C","B","C","B","A","C","C","C","B","D","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","D","D","D","C","B","N","N","D","D","D","D","A","D","D","D","D","D","B","B","C","D","C","D","C","C"
"i228o","Did (s)he have sores?","sk sores","W610228-o","W610228-o (sk sores)","Y","M","i022gY","","","","","","","","i227oY","","D","D","D","C","D","B","C-","E","E","E","E","C-","E","E","E","C-","D","C-","D+","C","D+","C","E","E","C","D+","C","E","C-","C-","D","E","C-","C-","D","D","D","D-","D","D-","D-","D","D","D","N","N","N","N","N","N","N","N","D+","E","D+","D-","D+","E","E","E","E","D-","D","C-","C","D","C","D","C","C"
"i229o","Did the sores have clear fluid and/or pus?","sk s pus","W610229-o","W610229-o (sk s pus)","Y","M","i022gY","","","","","","","","i228oY","","D","D","D","C","D","C-","D+","E","E","E","E","D+","E","E","E","C-","D-","D+","D-","C-","D","C-","E","E","C","D-","D+","E","D+","D+","D-","E","C-","D+","D-","D","D","D","D","D-","D","D","D","D","D-","D-","N","D-","D-","N","N","N","D-","E","D","E","D+","E","E","E","E","E","E","D","C","C","B","D","B","C"
"i230o","Did (s)he have an ulcer (pit) on the foot?","sk ul ft","W610230-o","W610230-o (sk ul ft)","Y","M","i022gY","","","","","","","","i227oY","","C","C","C","D","D","D","D","D","D","D","D","D","D","E","E","C","D","D","D","D","D","D","C","B-","A+","D","D","C","D","D","D","D","D","D","D","C","C","C","C","C","C","C","C","C","D","D","D","D","D","D","N","N","D","D","D","D","D","D","D","D","D","D","D","D","C","D","C","D","C","C"
"i231o","Did any ulcer ooze pus?","sk ul pus","W610231-o","W610231-o (sk ul pus)","Y","M","i022gY","","","","","","","","i227oY","","D","D","D","B","D","D-","D","E","E","E","E","D-","E","E","E","D+","E","D-","D-","D-","D-","D-","E","E","C","E","D+","E","D+","D","E","E","D+","D-","E","D","D","D","D","D","C","D","D","D","N","N","N","N","N","N","N","N","E","E","E","E","E","E","E","E","E","E","E","D+","C","C","C","D","C","C"
"i232a","Did the ulcer ooze pus for at least 2 weeks?","sk ul 2+w","W610232-a","W610232-a (sk ul 2+w)","Y","M","i022gY","","","","","","","","i231oY","","D","D","D","B","D","E","D-","E","E","E","E","D-","E","E","E","D","E","E","E","E","D-","D-","E","E","C","E","D","E","D+","E","E","E","D","E","E","D","D","D","D","D","D","D","D","D","N","N","N","N","N","N","N","N","E","E","E","E","E","E","E","E","E","E","E","D-","C","D","C","D","C","C"
"i233o","During the illness that led to death, did (s)he have any skin rash?","sk rash","W610233-o","W610233-o (sk rash)","Y","M","","","","","","","","","","","C","C","C","C","C","B","D","D","D","A","D","D","D","B+","B","C+","D","D","D","D","D","C","C","B","C","D","C","C","C","D","C","D","C","C","D","D","D","D","D","D","C","D","D","D","D","D","C","C","D","C-","N","N","D","D","D","D","D","D","B+","D","D","D","C","C","C","D","C","D","C","C"
"i234a","Did (s)he have the skin rash for less than one week?","sk ra <1w","W610234-a","W610234-a (sk ra <1w)","Y","M","i234bY","i022gY","","","","","","","i233oY","","C","C","C","B","C+","D","D","D","D","A","D","D","D","B+","B","B-","D","D","D","D","D","D","C","B-","C","D","C","C","C","D","C","D","D","D","D","D","D","D","D","D","C","D","D","D","D","D","C","C","D","C","N","N","D","D","D","D","D","C","C","D","D","D","D","D","C","D","C","D","C","C"
"i234b","Did (s)he have the skin rash for at least one week?","sk ra 1+w","W610234-b","W610234-b (sk ra 1+w)","Y","M","i234aY","i022gY","","","","","","","i233oY","","C","C","C","D","C-","B+","D","D","D","C","D","D","D","C","E","D","D","D","D","D","D","C","C","B+","C","D","C","B","C+","D","C","D","C","C","D","D","D","D","D","D","C","D","D","D","D","D","D","D","D","D","N","N","D","D","D","D","D","D","D","D","D","D","D","C","C","D","C","D","C","C"
"i235a","Did (s)he have a rash on the face?","sk ra face","W610235-a","W610235-a (sk ra face)","Y","M","i235dY","i022gY","","","","","","","i233oY","","C","C","C","D","D","D+","E","E","A","B","E","D-","E","D","D","E","E","D-","D","D","D-","D","E","C","D-","N","D","D","E","D-","E","E","D-","D","D-","D","D","D","D","D","D","D","D","D","N","N","N","N","N","N","N","N","D-","E","E","E","D-","E","E","D","E","D-","E","D","D","D","D","D","D","D"
"i235b","Did (s)he have a rash on the trunk or abdomen?","sk ra abd","W610235-b","W610235-b (sk ra abd)","Y","M","i235dY","i022gY","","","","","","","i233oY","","C","C","C","D","D","C-","D-","E","A","B","E","D-","E","D","D","D+","E","D","D","D+","E","D+","E","C","D-","D","D+","E","D","D-","D-","E","D+","D+","E","D","D","D","D","D","D","D-","D","D","N","N","N","N","N","N","N","N","D-","E","D-","E","D-","E","E","E","E","D-","E","D","D","D","D","D","D","D"
"i235c","Did (s)he have a rash on the extremities?","sk ra ext","W610235-c","W610235-c (sk ra ext)","Y","M","i235dY","i022gY","","","","","","","i233oY","","C","C","C","D","D","C-","D+","D-","A-","A-","E","D+","E","D","D","D-","D-","D-","E","E","D","D+","E","E","C-","D","C-","E","D+","E","E","E","D+","D+","E","D","D","D","D-","D","D","D","D","D","N","N","N","N","N","N","N","N","D-","E","E","E","E","D-","D","D-","E","D-","E","D","D","D","D","D","D","D"
"i235d","Did (s)he have a rash everywhere?","sk ra all","W610235-d","W610235-d (sk ra all)","Y","M","i022gY","","","","","","","","i233oY","","C","C","C","D","D","C","D-","D-","A","C","E","D+","E","C","C","D+","E","D+","E","D+","E","C-","E","C","D","D+","D+","D","D-","E","E","E","D+","C-","D-","D","D","D","D","D","D","D","D","D-","N","N","N","N","N","N","N","N","D-","E","E","E","D","E","E","E","E","D-","E","C","C","C","C","D","C","C"
"i236o","Did (s)he have measles rash?","sk ra meas","W610236-o","W610236-o (sk ra meas)","Y","M","i237oY","i022gY","","","","","","","i233oY","","C-","C-","C-","E","E","N","N","E","I","E","E","E","E","N","N","N","E","E","E","E","E","E","E","N","E","E","D","C-","E","E","E","E","E","E","E","D","D","D","D","D","D","D","D","D","E","E","E","E","E","E","N","N","D","D","D","D","D","D","D","D","D","D","D","E","C","B","C","D","B","C"
"i237o","Did (s)he ever have shingles or herpes zoster?","sk ra herp","W610237-o","W610237-o (sk ra herp)","Y","M","i022gY","i022fY","i236oY","i022eY","i022dY","","","","i233oY","","C-","C-","C-","D","D","A","D","D","D","D","D","D","D","N","N","D","D","D","D","D","D","D","C-","D-","C-","C-","C-","C-","C-","D","C-","C-","C-","C-","C-","D","D","D","D","D","D","D","D","D","N","N","N","N","D","N","N","N","D","D","D","D","D","D","D","D","D","D","D","C-","D","D","D","D","D","D"
"i238o","During the illness that led to death, did her/his skin flake off in patches?","sk flake","W610238-o","W610238-o (sk flake)","Y","M","i022gY","","","","","","","","i233oY","","C","C","C","C","C","C","D","D","D","B","D","D","D","B","C","C","D","D","D","D","D","D","D","B","C","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","B","D","D","D","N","N","N","D","D","D","N","N","D","D","D","D","D","D","D","D","D","D","D","D","C","B","C","D","C","C"
"i239o","During the illness that led to death, did he/she have areas of the skin that turned black?","sk black","W610239-o","W610239-o (sk black)","Y","M","","","","","","","","","i233oY","","C","C","C","A-","C","C","D","D","D","B","D","D","D","B","C","C","D","D","D","D","D","D","D","B","A-","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","B","D","D","D","D","D","D","D","D","D","N","N","D","D","D","D","D","D","D","D","D","D","D","D","C","B","C","D","C","C"
"i240o","During the illness that led to death, did he/she have areas of the skin with redness and swelling?","sk red","W610240-o","W610240-o (sk red)","Y","M","","","","","","","","","i233oY","","C","C","C","A-","C","C","D","D","D","B","D","D","D","B","C","C","D","D","D","D","D","D","D","B","C","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","B","D","D","D","D","D","D","D","D","D","N","N","D","D","D","D","D","D","D","D","D","D","D","D","C","B","C","D","C","C"
"i241o","During the illness that led to death, did (s)he bleed from anywhere?","bleed","W610241-o","W610241-o (bleed)","Y","M","","","","","","","","","","","D","C","B","C","D","D-","D+","D","E","D+","E","C-","E","A","B-","C-","E","E","E","E","E","C-","E","E","E","E","D","E","C-","E","E","E","E","E","E","D","D","D","B","D","D","D","D","D","D","D","D","D","E","D","N","N","C","E","C","D","C-","D+","E","C-","E","D+","E","D","C","B","C","C","B","C"
"i242o","Did (s)he bleed from the nose, mouth or anus?","bld orif","W610242-o","W610242-o (bld orif)","Y","M","i022gY","","","","","","","","i241oY","","D","D","D","D","D","C","C","D","D","D","D","D","D","A","B-","D","B","B","D","D","D","C","C","C","D","D","C","C","D","D","D","D","D","D","D","D","D","C","B","D","D","D","D","D","D","D","D","D","D","D","N","N","C","C","C","D","D","C","D","C","C","C","C","D","C","B","B","C","B","C"
